chain_id,ula,uhmc_10,uhmc_uniform_19
201,1.0540251576064121,1.1201448998615144,1.1200654656824558
202,1.1267168974907005,1.1316306165871246,1.12495466686083
203,1.172122793457523,1.132840725578475,1.1189372623132754
204,1.2501021973292163,1.124864211638106,1.121711053525096
205,1.1595695032160398,1.1732520093742291,1.122612379639002
206,1.1211547689002817,1.136254363340195,1.126882872658042
207,1.0741269870232628,1.1318847265595875,1.1411121112760059
208,1.0956194762757865,1.142127718749644,1.135192096844021
209,1.1156083378735715,1.1347221353379273,1.110448106179629
210,1.097306648227937,1.114941576983459,1.133321751498221
211,1.1077163722598298,1.1174681807407423,1.1584934066109085
212,1.077459675972381,1.1020831043338297,1.1328426356143864
213,1.066826351578174,1.1231872899511144,1.1373545172927846
214,1.1614323305850256,1.1280763724386198,1.107312682197142
215,1.1447410275849865,1.1333682372754883,1.1199702852208315
216,1.0616524199946473,1.1207484010099436,1.1284376313134483
217,1.1048430218706726,1.135110722865849,1.1389976505831045
218,1.0225126609060318,1.137781538722761,1.1204061803419787
219,1.1990650551124622,1.1103908629458161,1.1170506039289378
220,1.0600795883845069,1.1011219252054252,1.1114765019657253
221,1.079858176917551,1.142156180629384,1.117413082050655
222,1.1834898810298138,1.1269550748905843,1.135074937469576
223,1.1213678606063922,1.141886958895789,1.141551167784016
224,1.1125305764171383,1.1363397560363115,1.107467077389921
225,1.138974715757942,1.1065125989051285,1.1344428259392918
226,1.0829615466622433,1.1093613264864937,1.1149903989727021
227,1.1299669171177256,1.1269880754429655,1.1232418173734573
228,1.041109269194814,1.1172603541861397,1.155340713139226
229,1.1648949687662864,1.1316055782380543,1.1090209209851798
230,1.153823317615842,1.1363661637509797,1.1151785290621747
231,1.033971858507015,1.1243362435444026,1.1193416717310232
232,1.1411531951014848,1.137998871142136,1.1180013073646244
233,1.1484070778387947,1.1179274036145577,1.1016915292917535
234,1.0973861331815289,1.1505272253376215,1.1177736467903614
235,1.0755300337649352,1.11788617836331,1.1369484160397136
236,1.0619883591573163,1.1151164550579975,1.1241132418167417
237,1.0952702083668913,1.1210592693801171,1.113467749936849
238,1.0602335761971986,1.1151398595533142,1.145968429007376
239,1.2074083144222738,1.1097257445054087,1.149763273554502
240,1.123509420514885,1.1471839751293118,1.134013036854082
241,1.1026844136424052,1.123399103756978,1.1212538481333032
242,1.1294282661570185,1.1276151084671202,1.1262784535923966
243,1.0870473235930362,1.1239728710435135,1.14380706122673
244,1.1559426295904196,1.1134847823847784,1.1243818041924027
245,1.06229715131032,1.100352780785084,1.111644321229955
246,1.0847774941621802,1.1260199600297922,1.097657782374193
247,1.1693696609749116,1.1262216844605615,1.1119762254486532
248,1.2019694120549698,1.125411986185798,1.1245418431811736
249,1.0700921095841407,1.1068577405671252,1.1126960414652542
250,1.286009903644431,1.1080507577959118,1.1105421101754878
251,1.1263410358337183,1.1091756850555607,1.12106136155693
252,1.053269375060664,1.1216095323366249,1.1170148104194777
253,1.0523692550844757,1.125966343012905,1.1134321348071985
254,1.0961249818674696,1.1181569999676597,1.1161003456027692
255,1.1353693671884306,1.1233228054965918,1.1219055849639687
256,1.0723654328926497,1.1056918597289207,1.128077603485214
257,1.0619238139746359,1.1458044301394747,1.144696543382739
258,1.1723760705306563,1.1343044059202891,1.109397694623841
259,1.0459827818932272,1.1221434082914623,1.1207099948937247
260,1.1078289212893873,1.1147225835343604,1.1139797640159734
261,1.1853770121642635,1.1277183231013357,1.1194443904112776
262,1.1499815079342022,1.136778374176708,1.1093223371587382
263,1.0596833356578823,1.1218888977481885,1.1235318294076795
264,1.2062213644533903,1.1807233652475917,1.1058160423948638
265,1.042711608384651,1.1245571514760264,1.119181104250657
266,1.2609129910833063,1.1115608414814404,1.1125518279168716
267,1.158329708088205,1.1239455725370802,1.1287369571541754
268,1.1463588407585967,1.1281706956796647,1.1282435059097773
